Team Tag,Team Name,Category,Captain Username,Email,Password,Player ID
A64X36,Xenon Pulse,Mixed,ath64_t36_s1,ath64_t36_s1@ath64.local,KoratDemo@2569,925
A64X37,Synapse Nexus,Mixed,ath64_t37_s1,ath64_t37_s1@ath64.local,KoratDemo@2569,933
A64X38,Velocity Strike,Mixed,ath64_t38_s1,ath64_t38_s1@ath64.local,KoratDemo@2569,941
A64X39,Omega Force,Mixed,ath64_t39_s1,ath64_t39_s1@ath64.local,KoratDemo@2569,949
A64X40,Stellar Blaze,Mixed,ath64_t40_s1,ath64_t40_s1@ath64.local,KoratDemo@2569,957
A64X41,Quantum Echo,Mixed,ath64_t41_s1,ath64_t41_s1@ath64.local,KoratDemo@2569,965
A64X42,Titan Surge,Mixed,ath64_t42_s1,ath64_t42_s1@ath64.local,KoratDemo@2569,973
A64X43,Eclipse Venom,Mixed,ath64_t43_s1,ath64_t43_s1@ath64.local,KoratDemo@2569,981
A64X44,Primal Fury,Mixed,ath64_t44_s1,ath64_t44_s1@ath64.local,KoratDemo@2569,989
A64X45,Nova Breach,Mixed,ath64_t45_s1,ath64_t45_s1@ath64.local,KoratDemo@2569,997
A64X46,Kinetic Storm,Mixed,ath64_t46_s1,ath64_t46_s1@ath64.local,KoratDemo@2569,1005
A64X47,Sonic Paradox,Mixed,ath64_t47_s1,ath64_t47_s1@ath64.local,KoratDemo@2569,1013
A64X48,Cyber Rebellion,Mixed,ath64_t48_s1,ath64_t48_s1@ath64.local,KoratDemo@2569,1021
A64X49,Flux Dynasty,Mixed,ath64_t49_s1,ath64_t49_s1@ath64.local,KoratDemo@2569,1029
A64X50,Helix Warriors,Mixed,ath64_t50_s1,ath64_t50_s1@ath64.local,KoratDemo@2569,1037
A64X51,Phantom Ascent,Mixed,ath64_t51_s1,ath64_t51_s1@ath64.local,KoratDemo@2569,1045
A64X52,Graviton Syndicate,Mixed,ath64_t52_s1,ath64_t52_s1@ath64.local,KoratDemo@2569,1053
A64X53,Tempest Legion,Mixed,ath64_t53_s1,ath64_t53_s1@ath64.local,KoratDemo@2569,1061
A64X54,Nebula Nexus,Mixed,ath64_t54_s1,ath64_t54_s1@ath64.local,KoratDemo@2569,1069
A64X55,Vortex Uprising,Mixed,ath64_t55_s1,ath64_t55_s1@ath64.local,KoratDemo@2569,1077
A64X56,Lumina Ascension,Mixed,ath64_t56_s1,ath64_t56_s1@ath64.local,KoratDemo@2569,1085
A64X57,Resonance Faction,Mixed,ath64_t57_s1,ath64_t57_s1@ath64.local,KoratDemo@2569,1093
A64X58,Drift Collective,Mixed,ath64_t58_s1,ath64_t58_s1@ath64.local,KoratDemo@2569,1101
A64X59,Catalyst Alliance,Mixed,ath64_t59_s1,ath64_t59_s1@ath64.local,KoratDemo@2569,1109
A64X60,Apex Nexus,Mixed,ath64_t60_s1,ath64_t60_s1@ath64.local,KoratDemo@2569,1117
A64X61,Zenith Collective,Mixed,ath64_t61_s1,ath64_t61_s1@ath64.local,KoratDemo@2569,1125
A64X62,Prism Dynasty,Mixed,ath64_t62_s1,ath64_t62_s1@ath64.local,KoratDemo@2569,1133
A64X63,Velocity Legion,Mixed,ath64_t63_s1,ath64_t63_s1@ath64.local,KoratDemo@2569,1141
A64X64,Omega Nexus,Mixed,ath64_t64_s1,ath64_t64_s1@ath64.local,KoratDemo@2569,1149
